Question,Answer
What is the NRI/Foreign national fee for B.B.A LL.B (Hons.)  ,B.B.A LL. B (Hons.) ? tuition fee per year in USD ? 3000
What is the NRI/Foreign student tuition fee for B.A LL.B (Hons.)  ,B.A. LL. B (Hons.) ? tuition fee per year in USD ? 3000
How much is the NRI tuition fee for B.Pharm.  ,B. Pharm. ? tuition fee per year in USD ? 3000
What is the NRI student fee for B.Sc. Aviation  ,B.Sc. Aviation ? tuition fee per year in USD ? 3000
What is the tuition fee for NRI students applying to B.Sc. Biotechnology  ,B.Sc. Biotechnology ? tuition fee per year in USD ? 2000
Can you share the NRI fee structure for B.Sc. Computer Science  ,B.Sc. Computer Science ? tuition fee per year in USD ? 2000
What is the NRI fee for BCA programme  ,BCA ? tuition fee per year in USD ? 2000
What is the NRI tuition fee for B.Com. General  ,B.Com. General ? tuition fee per year in USD ? 2000
What is the NRI fee structure for B.Com. Accounts  and   Finance  ,B.Com. Accounts  and   Finance ? tuition fee per year in USD ? 2000
What is the NRI tuition fee for B.Com. Professional Accounting  ,B.Com. Professional Accounting ? tuition fee per year in USD ? 2500
What is the fee for B.Com. International Accounting  and   Finance under the NRI category  ,B.Com. International Accounting  and   Finance ? tuition fee per year in USD ? 2500
How much is the NRI fee for BBA  ,BBA ? tuition fee per year in USD ? 2000
Can I get the NRI fee details for B.A Public Policy  ,B.A Public Policy ? tuition fee per year in USD ? 2500
What is the NRI fee structure for B.A English  ,B.A. English ? tuition fee per year in USD ? 2000
What is the NRI tuition fee for B.A Islamic Studies  ,B.A. Islamic Studies ? tuition fee per year in USD ? 1000
What is the NRI tuition fee for M.Tech.  ,M. Tech. ? tuition fee per year in USD ? 3000
What is the NRI fee structure for M.Arch.  ,M. Arch. ? tuition fee per year in USD ? 3000
Can you tell me the NRI fee for the MBA programme  ,MBA ? tuition fee per year in USD ? 4000
What is the NRI tuition fee for MCA  ,MCA ? tuition fee per year in USD ? 3000
What is the NRI/Foreign national fee for M.Pharm.  ,M. Pharm. ? tuition fee per year in USD ? 2500
What is the NRI fee for M.Sc. programmes  ,M.Sc. ? tuition fee per year in USD ? 1500
Can I know the NRI tuition fee for M.Com.  ,M.Com. ? tuition fee per year in USD ? 1500
What is the NRI tuition fee for M.A Islamic Studies  ,M.A. Islamic Studies ? tuition fee per year in USD ? 1000
How much is amenities fee&service fee for NRI/ Foreign national admissions  ,500 USD
 What are the Minor Degree Programmes offered for Artificial Intelligence & Data Science students  ,"Programmes offered are Computational Biology, GIS  and   Remote Sensing, Industrial Automation, Electric Vehicles, 3D Printing, Robotics."
What are the Minor Degree Programmes offered for Mechanical Engineering students  ,"Programmes offered are Computational Biology, GIS  and   Remote Sensing, Industrial Automation, Sensor Technology, Virtual  and   Augmented Reality, Internet of Things (IoT), Data Science, Cyber Security, Blockchain, Artificial Intelligence & Machine Learning."
What are the Minor Degree Programmes offered for Aeronautical Engineering students  ,"Programmes offered are Computational Biology, GIS  and   Remote Sensing, Industrial Automation, Virtual  and   Augmented Reality, Internet of Things (IoT), Data Science, Cyber Security, Blockchain, Artificial Intelligence & Machine Learning."
What are the Minor Degree Programmes offered for Polymer Engineering students  ,"Programmes offered are Computational Biology, GIS  and   Remote Sensing, Industrial Automation, Virtual  and   Augmented Reality, Internet of Things (IoT), Data Science, Cyber Security, Blockchain, Artificial Intelligence & Machine Learning."
What are the Minor Degree Programmes offered for Automobile Engineering students  ,"Programmes offered are Computational Biology, GIS  and   Remote Sensing, Industrial Automation, Virtual  and   Augmented Reality, Internet of Things (IoT), Data Science, Cyber Security, Blockchain, Artificial Intelligence & Machine Learning."
What are the Minor Degree Programmes offered for Civil Engineering students  ,"Programmes offered are Computational Biology, GIS  and   Remote Sensing, Electric Vehicles, Robotics, Virtual  and   Augmented Reality, Internet of Things (IoT), Data Science, Cyber Security, Blockchain, Artificial Intelligence & Machine Learning."
What are the Minor Degree Programmes offered for Biotechnology students  ,"Programmes offered are Computational Biology, GIS  and   Remote Sensing, Industrial Automation, Electric Vehicles, 3D Printing, Robotics, Sensor Technology, Virtual  and   Augmented Reality, Internet of Things (IoT), Data Science, Cyber Security, Blockchain, Artificial Intelligence & Machine Learning."
What are the Minor Degree Programmes offered for Electrical & Electronics Engineering students  ,"Programmes offered are Computational Biology, GIS  and   Remote Sensing, 3D Printing, Robotics, Sensor Technology, Virtual  and   Augmented Reality, Internet of Things (IoT), Data Science, Cyber Security, Blockchain, Artificial Intelligence & Machine Learning."
What are the Minor Degree Programmes offered for Electronics & Instrumentation Engineering students  ,"Programmes offered are Computational Biology, GIS  and   Remote Sensing, 3D Printing, Robotics, Sensor Technology, Virtual  and   Augmented Reality, Internet of Things (IoT), Data Science, Cyber Security, Blockchain, Artificial Intelligence & Machine Learning."
What are the Minor Degree Programmes offered for Electronics & Communication Engineering students  ,"Programmes offered are Computational Biology, Electric Vehicles, Industrial Automation, 3D Printing, Robotics, Virtual  and   Augmented Reality, GIS  and   Remote Sensing."
What are the Minor Degree Programmes offered for Computer Science & Engineering students  ,"Programmes offered are Computational Biology, GIS  and   Remote Sensing, Industrial Automation, Electric Vehicles, 3D Printing, Robotics."
What are the Minor Degree Programmes offered for CSE (Cyber Security) students  ,"Programmes offered are Computational Biology, GIS  and   Remote Sensing, Industrial Automation, Electric Vehicles, 3D Printing, Robotics."
What are the Minor Degree Programmes offered for CSE (Internet of Things) students  ,"Programmes offered are Computational Biology, GIS  and   Remote Sensing, Industrial Automation, Electric Vehicles, 3D Printing, Robotics."
What are the Minor Degree Programmes offered for Information Technology students  ,"Programmes offered are Computational Biology, GIS  and   Remote Sensing, Industrial Automation, Electric Vehicles, 3D Printing, Robotics."
What are Minor Degree Programmes  ,Minor Degree Programmes are additional academic courses offered in emerging areas of Science  and   Technology. These programmes are designed to provide B.Tech. students with interdisciplinary knowledge  and   skills beyond their core specialization.
Why should my child pursue a Minor Degree Programme  ,"Programmes offered are aimed at empowering students with knowledge  and   skills in high-demand   areas like Artificial Intelligence, Cyber Security, Blockchain, Data Science, Robotics,  and   more. This adds value to their degree  and   improves their career opportunities."
From which year can B.Tech. students start the Minor Degree Programme  ,Programmes are offered from the second year to the final year of the B.Tech. course.
Is there an extra fee for Minor Degree Programmes  ,"Yes, a separate fee is charged for pursuing Minor Degree Programmes in addition to the regular B.Tech. tuition fee."
Are Minor Degrees compulsory for B.Tech. students  ,"No, Minor Degree Programmes are optional. Students can choose to enroll based on their interest  and   career goals."
What are the benefits of a Minor Degree in terms of career  ,"Programmes offered enhance a student?s profile with interdisciplinary skills, making them more competitive for jobs, internships,  and   higher education in cutting-edge domains."
Will the Minor Degree be mentioned on the final degree certificate  ,"Yes, students who successfully complete the Minor Degree requirements will have it reflected on their academic records or transcript."
Can my child choose any Minor Programme irrespective of their main B.Tech. department  ,Each B.Tech. department has a set of eligible Minor Degree Programmes. Students can choose only from the options available for their specific major.
How many Minor Degree Programmes can my child take during their B.Tech.  ,Students are allowed to choose one Minor Degree Programme during their B.Tech. course.
Are the Minor Degree classes held separately from the regular B.Tech. schedule  ,"Yes, Minor Degree classes are generally scheduled in a way that they do not clash with the regular B.Tech. timetable,  and   students are informed accordingly."
What is the eligibility for B.Tech. programmes  ,"Pass in 10+2 with minimum 50% aggregate marks in Physics, Chemistry,  and   Mathematics. Admission is based on Crescent Institute Engineering Admission Test (CIEAT) or valid JEE Main score.Date of Birth: Between January 2003  and   December 2008"
Can students with JEE Main apply without taking CIEAT  ,"Yes, c and  idates with a valid JEE Main score are exempted from CIEAT."
What is the eligibility for B.Tech.  ,"Pass in 10+2 with 50% in PCM; CIEAT or JEE Main, Date of Birth should be between Jan 2003 - Dec 2008"
What is the eligibility for B.Tech. Lateral Entry  ,"Diploma or B.Sc. with Math; min 50%, Date of Birth should be between Jan 2002 - Dec 2007"
What is the eligibility for B.Arch.  ,"Pass in 10+2 with 50% in PCM  and   valid NATA score, Date of Birth should be between Jan 2003 - Dec 2008"
What is the eligibility for B.Des.  ,"Pass in 10+2 with 50%; Entrance test + qualifying exam, Date of Birth should be between Jan 2003 - Dec 2008"
What is the eligibility for B.Pharm.  ,"Pass in 10+2 with 50% in PCM/B, Date of Birth should be between Jan 2003 - Dec 2008"
What is the eligibility for BBA LL.B. (Hons.)  ,"Pass in 10+2 in any stream with 50%, Date of Birth should be between Jan 2003 - Dec 2008"
What is the eligibility for B.A. LL.B. (Hons.)  ,"Pass in 10+2 in any stream with 50%, Date of Birth should be between Jan 2003 - Dec 2008"
What is the eligibility for B.Sc. Aviation  ,"Pass in 10+2 with 50% in Physics  and   Math, Date of Birth should be between Jan 2003 - Dec 2008"
What is the eligibility for B.Sc. Biotechnology  ,"Pass in 10+2 with 50% in PCM/B/Botany/Zoology, Date of Birth should be between Jan 2003 - Dec 2008"
What is the eligibility for B.Sc. Computer Science  ,"Pass in 10+2 with 50%  and   Math, Date of Birth should be between Jan 2003 - Dec 2008"
What is the eligibility for BCA  ,"Pass in 10+2 with 50%  and   Math, Date of Birth should be between Jan 2003 - Dec 2008"
What is the eligibility for B.Com.  ,"Pass in 10+2 with 50%; studied Commerce/Accounts/Math, Date of Birth should be between Jan 2003 - Dec 2008"
What is the eligibility for BBA  ,"Pass in 10+2 in any stream with 50%, Date of Birth should be between Jan 2003 - Dec 2008"
